"symbol","date","adjusted","sma_50","invested","shares","total_shares_value","profit"
"SPY",1993-04-30,26.479858,26.80992614,1000,37.7645529670136,1000,0
"SPY",1993-05-28,27.194014,26.82040002,2000,74.5373515689413,2026.96978208871,26.9697820887106
"SPY",1993-06-30,27.292105,26.90812038,3000,111.177984455265,3034.28122544146,34.2812254414594
"SPY",1993-07-30,27.159624,27.13791374,4000,147.997345430218,4019.55225488284,19.5522548828421
"SPY",1993-08-31,28.200592,27.34245,5000,183.457593924292,5173.61275556065,173.612755560645
"SPY",1993-09-30,27.99539,27.69690052,6000,219.177760708895,6135.96689037219,135.966890372193
"SPY",1993-10-29,28.547701,28.115746,7000,254.206851142482,7257.02117856708,257.021178567084
"SPY",1993-11-30,28.242989,28.2406971,8000,289.613868437996,8179.56130054175,179.561300541754
"SPY",1993-12-31,28.589708,28.41760338,9000,324.591490454981,9279.97593139271,279.975931392708
"SPY",1994-01-31,29.586815,28.70768506,10000,358.390329566254,10603.6283786658,603.628378665802
"SPY",1994-02-28,28.723936,28.95250206,11000,393.204499880518,11294.38088948,294.38088948
"SPY",1994-03-31,27.520372,28.84318386,12000,429.541218003369,11821.1341087858,-178.865891214195
"SPY",1994-04-29,27.828934,28.26254042,13000,465.475041411768,12953.6742060954,-46.325793904638
"SPY",1994-05-31,28.27249,27.88910526,14000,500.845113167033,14160.1384535638,160.138453563801
"SPY",1994-06-30,27.624657,28.02317388,15000,537.044657653685,14835.6744613655,-164.325538634539
"SPY",1994-07-29,28.517664,28.15859324,16000,572.110643423066,16315.2590999628,315.259099962806
"SPY",1994-08-31,29.604784,28.4163233,17000,605.888967899272,17937.2120226409,937.212022640888
"SPY",1994-09-30,28.857119,28.93354862,18000,640.542461894983,18484.2100474565,484.210047456483
"SPY",1994-10-31,29.67741,29.12703482,19000,674.238124690355,20009.6412640668,1009.64126406678
"SPY",1994-11-30,28.495794,28.95985068,20000,709.331022961587,20212.9507081227,212.950708122658
"SPY",1994-12-30,28.70331,28.86092478,21000,744.170210497798,21360.1482446836,360.148244683554
"SPY",1995-01-31,29.667967,28.91951034,22000,777.876598266128,23078.0172474317,1078.01724743173
"SPY",1995-02-28,30.878702,29.69237442,23000,810.261379206725,25019.8196706335,2019.81967063347
"SPY",1995-03-31,31.7386,30.67422,24000,841.768755083418,26716.5618100906,2716.56181009057
"SPY",1995-04-28,32.67878,31.52841898,25000,872.369652668946,28507.9759582449,3507.9759582449
"SPY",1995-05-31,33.975254,32.60673808,26000,901.802839540779,30638.9805313192,4638.98053131922
"SPY",1995-06-30,34.66256,33.67030006,27000,930.652410951546,32258.7950337526,5258.79503375263
"SPY",1995-07-31,35.777496,34.6921262,28000,958.602941642683,34296.4129102093,6296.41291020931
"SPY",1995-08-31,35.936768,35.52762578,29000,986.429595391846,35449.0915179306,6449.09151793062
"SPY",1995-09-29,37.459637,36.27729702,30000,1013.1249955635,37951.2945694354,7951.29456943541
"SPY",1995-10-31,37.349545,37.02229842,31000,1039.89908344061,38839.7576124238,7839.75761242383
"SPY",1995-11-30,39.010868,37.77768572,32000,1065.53296577309,41567.3658774226,9567.36587742264
"SPY",1995-12-29,39.624615,38.67846136,33000,1090.76980403638,43221.333538567,10221.333538567
"SPY",1996-01-31,41.034389,39.47631,34000,1115.13960761747,45759.0724482826,11759.0724482826
"SPY",1996-02-29,41.165298,40.51781114,35000,1139.43191323858,46905.0542591762,11905.0542591762
"SPY",1996-03-29,41.874096,41.5705431,36000,1163.31302580039,48712.6813204158,12712.6813204158
