"symbol","date","adjusted","sma_50","buy_or_sell","shares_owned","invested","savings_account_balance","profit"
"SPY",1993-04-30,26.479858,26.80992614,1,0,0,1000,0
"SPY",1993-05-28,27.194014,26.82040002,0,73.5455972038552,2000,0,0
"SPY",1993-06-30,27.292105,26.90812038,0,110.186230090179,3000,0,0
"SPY",1993-07-30,27.159624,27.13791374,0,147.005591065132,4000,0,0
"SPY",1993-08-31,28.200592,27.34245,0,182.465839559206,5000,0,0
"SPY",1993-09-30,27.99539,27.69690052,0,218.186006343809,6000,0,0
"SPY",1993-10-29,28.547701,28.115746,0,253.215096777396,7000,0,0
"SPY",1993-11-30,28.242989,28.2406971,0,288.62211407291,8000,0,0
"SPY",1993-12-31,28.589708,28.41760338,0,323.599736089895,9000,0,0
"SPY",1994-01-31,29.586815,28.70768506,0,357.398575201169,10000,0,0
"SPY",1994-02-28,28.723936,28.95250206,1,0,0,11265.8938005696,265.893800569551
"SPY",1994-03-31,27.520372,28.84318386,1,0,0,12265.8938005696,0
"SPY",1994-04-29,27.828934,28.26254042,1,0,0,13265.8938005696,0
"SPY",1994-05-31,28.27249,27.88910526,0,504.585687379129,14265.8938005696,0,0
"SPY",1994-06-30,27.624657,28.02317388,1,0,0,14939.0065409577,-326.887259611885
"SPY",1994-07-29,28.517664,28.15859324,0,558.916976543298,15939.0065409577,0,0
"SPY",1994-08-31,29.604784,28.4163233,0,592.695301019505,16939.0065409577,0,0
"SPY",1994-09-30,28.857119,28.93354862,1,0,0,18103.4788322607,164.472291303005
"SPY",1994-10-31,29.67741,29.12703482,0,643.704380950382,19103.4788322607,0,0
"SPY",1994-11-30,28.495794,28.95985068,1,0,0,19342.8674364596,-760.611395801065
"SPY",1994-12-30,28.70331,28.86092478,1,0,0,20342.8674364596,0
"SPY",1995-01-31,29.667967,28.91951034,0,719.390965901358,21342.8674364596,0,0
"SPY",1995-02-28,30.878702,29.69237442,0,751.775746841955,22342.8674364596,0,0
"SPY",1995-03-31,31.7386,30.67422,0,783.283122718648,23342.8674364596,0,0
"SPY",1995-04-28,32.67878,31.52841898,0,813.884020304176,24342.8674364596,0,0
"SPY",1995-05-31,33.975254,32.60673808,0,843.317207176009,25342.8674364596,0,0
"SPY",1995-06-30,34.66256,33.67030006,0,872.166778586777,26342.8674364596,0,0
"SPY",1995-07-31,35.777496,34.6921262,0,900.117309277913,27342.8674364596,0,0
"SPY",1995-08-31,35.936768,35.52762578,0,927.943963027076,28342.8674364596,0,0
"SPY",1995-09-29,37.459637,36.27729702,0,954.639363198732,29342.8674364596,0,0
