"symbol","date","profit"
"SPY",1993-04-30,0
"SPY",1993-05-28,0
"SPY",1993-06-30,0
"SPY",1993-07-30,0
"SPY",1993-08-31,0
"SPY",1993-09-30,0
"SPY",1993-10-29,0
"SPY",1993-11-30,0
"SPY",1993-12-31,0
"SPY",1994-01-31,0
"SPY",1994-02-28,265.893800569551
"SPY",1994-03-31,0
"SPY",1994-04-29,0
"SPY",1994-05-31,0
"SPY",1994-06-30,-326.887259611885
"SPY",1994-07-29,0
"SPY",1994-08-31,0
"SPY",1994-09-30,164.472291303005
"SPY",1994-10-31,0
"SPY",1994-11-30,-760.611395801065
"SPY",1994-12-30,0
"SPY",1995-01-31,0
"SPY",1995-02-28,0
"SPY",1995-03-31,0
"SPY",1995-04-28,0
"SPY",1995-05-31,0
"SPY",1995-06-30,0
"SPY",1995-07-31,0
"SPY",1995-08-31,0
"SPY",1995-09-29,0
"SPY",1995-10-31,0
"SPY",1995-11-30,0
"SPY",1995-12-29,0
"SPY",1996-01-31,0
"SPY",1996-02-29,0
"SPY",1996-03-29,0
"SPY",1996-04-30,0
"SPY",1996-05-31,0
"SPY",1996-06-28,0
"SPY",1996-07-31,10642.9467282157
"SPY",1996-08-30,0
"SPY",1996-09-30,0
"SPY",1996-10-31,0
"SPY",1996-11-29,0
"SPY",1996-12-31,0
"SPY",1997-01-31,0
"SPY",1997-02-28,0
"SPY",1997-03-31,5632.77589213762
"SPY",1997-04-30,0
"SPY",1997-05-30,0
"SPY",1997-06-30,0
"SPY",1997-07-31,0
"SPY",1997-08-29,8615.65329391824
"SPY",1997-09-30,0
"SPY",1997-10-31,-1916.9623750153
"SPY",1997-11-28,0
"SPY",1997-12-31,0
"SPY",1998-01-30,0
"SPY",1998-02-27,0
"SPY",1998-03-31,0
"SPY",1998-04-30,0
"SPY",1998-05-29,11842.5377659938
"SPY",1998-06-30,0
"SPY",1998-07-31,-1312.94878247674
"SPY",1998-08-31,0
"SPY",1998-09-30,0
"SPY",1998-10-30,0
"SPY",1998-11-30,0
"SPY",1998-12-31,0
"SPY",1999-01-29,0
"SPY",1999-02-26,12720.7874003441
"SPY",1999-03-31,0
"SPY",1999-04-30,0
"SPY",1999-05-28,1651.37091515103
"SPY",1999-06-30,0
"SPY",1999-07-30,-3791.44624399247
"SPY",1999-08-31,0
"SPY",1999-09-30,0
"SPY",1999-10-29,0
"SPY",1999-11-30,0
"SPY",1999-12-31,0
"SPY",2000-01-31,2550.72640362676
"SPY",2000-02-29,0
"SPY",2000-03-31,0
"SPY",2000-04-28,0
"SPY",2000-05-31,-6552.47762165517
"SPY",2000-06-30,0
"SPY",2000-07-31,-1985.12017735848
"SPY",2000-08-31,0
"SPY",2000-09-29,-6936.76738682284
"SPY",2000-10-31,0
"SPY",2000-11-30,0
"SPY",2000-12-29,0
"SPY",2001-01-31,0
"SPY",2001-02-28,-11876.0780403575
"SPY",2001-03-30,0
"SPY",2001-04-30,0
"SPY",2001-05-31,0
"SPY",2001-06-29,-3411.86163887083
"SPY",2001-07-31,0
"SPY",2001-08-31,0
"SPY",2001-09-28,0
"SPY",2001-10-31,0
"SPY",2001-11-30,0
"SPY",2001-12-31,0
"SPY",2002-01-31,-512.250393387454
"SPY",2002-02-28,0
"SPY",2002-03-28,0
"SPY",2002-04-30,-7135.91137477329
"SPY",2002-05-31,0
"SPY",2002-06-28,0
"SPY",2002-07-31,0
"SPY",2002-08-30,0
"SPY",2002-09-30,0
"SPY",2002-10-31,0
"SPY",2002-11-29,0
"SPY",2002-12-31,142.180146909173
"SPY",2003-01-31,0
"SPY",2003-02-28,0
"SPY",2003-03-31,0
"SPY",2003-04-30,0
"SPY",2003-05-30,0
"SPY",2003-06-30,0
"SPY",2003-07-31,0
"SPY",2003-08-29,0
"SPY",2003-09-30,12368.8999819383
"SPY",2003-10-31,0
"SPY",2003-11-28,0
"SPY",2003-12-31,0
"SPY",2004-01-30,0
